Class,Outcome group,ResNet50 top1,DINOv2-S top1,ResNet50 top1 correct,DINOv2-S top1 correct,ResNet50 margin,DINOv2-S margin,ResNet50 top3,DINOv2-S top3,Image path
Leather_136,both_correct,Leather_136,Leather_136,True,True,0.238934,0.267819,Leather_136|Leather_133|Leather_40,Leather_136|Leather_94|Leather_21,my_dataset_test_filtered\Leather_136\1750491016516.jpg
Leather_137,both_correct,Leather_137,Leather_137,True,True,0.227841,0.149417,Leather_137|Leather_133|Leather_126,Leather_137|Leather_133|Leather_126,my_dataset_test_filtered\Leather_137\1750491063276.jpg
Leather_138,both_correct,Leather_138,Leather_138,True,True,0.326821,0.221291,Leather_138|Leather_35|Leather_120,Leather_138|Leather_65|Leather_137,my_dataset_test_filtered\Leather_138\1750491113039.jpg
Leather_139,both_correct,Leather_139,Leather_139,True,True,0.263267,0.271988,Leather_139|Leather_142|Leather_85,Leather_139|Leather_37|Leather_55,my_dataset_test_filtered\Leather_139\1750491172226.jpg
Leather_14,both_correct,Leather_14,Leather_14,True,True,0.152120,0.058251,Leather_14|Leather_25|Leather_07,Leather_14|Leather_192|Leather_160,my_dataset_test_filtered\Leather_14\1750408447980.jpg
Leather_141,both_correct,Leather_141,Leather_141,True,True,0.165316,0.231079,Leather_141|Leather_143|Leather_40,Leather_141|Leather_133|Leather_21,my_dataset_test_filtered\Leather_141\1750491343747.jpg
Leather_142,both_correct,Leather_142,Leather_142,True,True,0.307855,0.216781,Leather_142|Leather_139|Leather_106,Leather_142|Leather_85|Leather_140,my_dataset_test_filtered\Leather_142\1750491376753.jpg
Leather_143,both_correct,Leather_143,Leather_143,True,True,0.187352,0.337245,Leather_143|Leather_141|Leather_40,Leather_143|Leather_127|Leather_137,my_dataset_test_filtered\Leather_143\1750491416883.jpg
Leather_144,both_correct,Leather_144,Leather_144,True,True,0.100669,0.008383,Leather_144|Leather_80|Leather_78,Leather_144|Leather_84|Leather_78,my_dataset_test_filtered\Leather_144\1750491458976.jpg
Leather_145,both_correct,Leather_145,Leather_145,True,True,0.047281,0.062399,Leather_145|Leather_58|Leather_83,Leather_145|Leather_58|Leather_76,my_dataset_test_filtered\Leather_145\1750491505929.jpg
Leather_146,both_correct,Leather_146,Leather_146,True,True,0.081151,0.112713,Leather_146|Leather_118|Leather_81,Leather_146|Leather_81|Leather_118,my_dataset_test_filtered\Leather_146\1750491548136.jpg
Leather_147,both_correct,Leather_147,Leather_147,True,True,0.010391,0.097383,Leather_147|Leather_79|Leather_80,Leather_147|Leather_78|Leather_53,my_dataset_test_filtered\Leather_147\1750491588458.jpg
Leather_148,both_correct,Leather_148,Leather_148,True,True,0.084297,0.150136,Leather_148|Leather_67|Leather_27,Leather_148|Leather_69|Leather_67,my_dataset_test_filtered\Leather_148\1750491631763.jpg
Leather_149,both_correct,Leather_149,Leather_149,True,True,0.465007,0.327126,Leather_149|Leather_119|Leather_157,Leather_149|Leather_32|Leather_73,my_dataset_test_filtered\Leather_149\1750491671545.jpg
Leather_15,both_correct,Leather_15,Leather_15,True,True,0.191036,0.163096,Leather_15|Leather_28|Leather_188,Leather_15|Leather_28|Leather_07,my_dataset_test_filtered\Leather_15\1750408503377.jpg
Leather_150,both_correct,Leather_150,Leather_150,True,True,0.070533,0.107034,Leather_150|Leather_75|Leather_77,Leather_150|Leather_84|Leather_122,my_dataset_test_filtered\Leather_150\1750491705037.jpg
Leather_151,resnet_only_correct,Leather_151,Leather_155,True,False,0.063278,0.004954,Leather_151|Leather_188|Leather_183,Leather_155|Leather_151|Leather_170,my_dataset_test_filtered\Leather_151\1750643059336.jpg
Leather_152,both_correct,Leather_152,Leather_152,True,True,0.109806,0.107580,Leather_152|Leather_19|Leather_181,Leather_152|Leather_184|Leather_188,my_dataset_test_filtered\Leather_152\1750643150581.jpg
Leather_153,resnet_only_correct,Leather_153,Leather_164,True,False,0.076766,0.006304,Leather_153|Leather_183|Leather_05,Leather_164|Leather_160|Leather_153,my_dataset_test_filtered\Leather_153\1750643340909.jpg
Leather_154,both_correct,Leather_154,Leather_154,True,True,0.070670,0.026925,Leather_154|Leather_11|Leather_166,Leather_154|Leather_161|Leather_166,my_dataset_test_filtered\Leather_154\1750643441264.jpg
Leather_155,both_correct,Leather_155,Leather_155,True,True,0.314814,0.229028,Leather_155|Leather_151|Leather_185,Leather_155|Leather_151|Leather_170,my_dataset_test_filtered\Leather_155\1750643535877.jpg
Leather_156,both_correct,Leather_156,Leather_156,True,True,0.007626,0.056206,Leather_156|Leather_159|Leather_04,Leather_156|Leather_179|Leather_163,my_dataset_test_filtered\Leather_156\1750643658280.jpg
Leather_157,both_correct,Leather_157,Leather_157,True,True,0.191689,0.097095,Leather_157|Leather_16|Leather_174,Leather_157|Leather_16|Leather_05,my_dataset_test_filtered\Leather_157\1750648997886.jpg
Leather_158,both_correct,Leather_158,Leather_158,True,True,0.181328,0.045582,Leather_158|Leather_13|Leather_173,Leather_158|Leather_195|Leather_199,my_dataset_test_filtered\Leather_158\1750649068787.jpg
Leather_159,both_correct,Leather_159,Leather_159,True,True,0.052601,0.090715,Leather_159|Leather_04|Leather_175,Leather_159|Leather_27|Leather_175,my_dataset_test_filtered\Leather_159\1750649136357.jpg
Leather_16,both_correct,Leather_16,Leather_16,True,True,0.165605,0.024053,Leather_16|Leather_10|Leather_153,Leather_16|Leather_160|Leather_10,my_dataset_test_filtered\Leather_16\1750409233250.jpg
Leather_160,both_correct,Leather_160,Leather_160,True,True,0.054439,0.106241,Leather_160|Leather_161|Leather_24,Leather_160|Leather_154|Leather_16,my_dataset_test_filtered\Leather_160\1750650791768.jpg
Leather_161,both_correct,Leather_161,Leather_161,True,True,0.103204,0.011652,Leather_161|Leather_26|Leather_03,Leather_161|Leather_03|Leather_01,my_dataset_test_filtered\Leather_161\1750650924442.jpg
Leather_162,both_correct,Leather_162,Leather_162,True,True,0.132827,0.142076,Leather_162|Leather_192|Leather_18,Leather_162|Leather_168|Leather_17,my_dataset_test_filtered\Leather_162\1750651003357.jpg
Leather_163,both_correct,Leather_163,Leather_163,True,True,0.079861,0.006890,Leather_163|Leather_27|Leather_25,Leather_163|Leather_183|Leather_27,my_dataset_test_filtered\Leather_163\1750651063876.jpg
Leather_164,resnet_only_correct,Leather_164,Leather_161,True,False,0.028370,0.005829,Leather_164|Leather_11|Leather_28,Leather_161|Leather_19|Leather_192,my_dataset_test_filtered\Leather_164\1750651143283.jpg
Leather_165,both_correct,Leather_165,Leather_165,True,True,0.094588,0.031653,Leather_165|Leather_26|Leather_168,Leather_165|Leather_26|Leather_161,my_dataset_test_filtered\Leather_165\1750659409519.jpg
Leather_166,both_correct,Leather_166,Leather_166,True,True,0.129918,0.041017,Leather_166|Leather_11|Leather_164,Leather_166|Leather_164|Leather_161,my_dataset_test_filtered\Leather_166\1750659306788.jpg
Leather_167,both_correct,Leather_167,Leather_167,True,True,0.117187,0.123151,Leather_167|Leather_189|Leather_152,Leather_167|Leather_08|Leather_10,my_dataset_test_filtered\Leather_167\1750659478698.jpg
Leather_168,both_correct,Leather_168,Leather_168,True,True,0.117110,0.016551,Leather_168|Leather_165|Leather_26,Leather_168|Leather_162|Leather_18,my_dataset_test_filtered\Leather_168\1750659573573.jpg
Leather_169,both_correct,Leather_169,Leather_169,True,True,0.134533,0.053163,Leather_169|Leather_151|Leather_25,Leather_169|Leather_25|Leather_167,my_dataset_test_filtered\Leather_169\1750659659789.jpg
Leather_17,both_correct,Leather_17,Leather_17,True,True,0.124171,0.100463,Leather_17|Leather_181|Leather_152,Leather_17|Leather_189|Leather_184,my_dataset_test_filtered\Leather_17\1750409341603.jpg
Leather_170,both_correct,Leather_170,Leather_170,True,True,0.134803,0.039635,Leather_170|Leather_174|Leather_175,Leather_170|Leather_175|Leather_188,my_dataset_test_filtered\Leather_170\1750659728427.jpg
Leather_171,both_correct,Leather_171,Leather_171,True,True,0.352992,0.262071,Leather_171|Leather_172|Leather_09,Leather_171|Leather_172|Leather_106,my_dataset_test_filtered\Leather_171\1750659800858.jpg
Leather_172,both_correct,Leather_172,Leather_172,True,True,0.342504,0.193071,Leather_172|Leather_171|Leather_09,Leather_172|Leather_09|Leather_19,my_dataset_test_filtered\Leather_172\1750659872148.jpg
Leather_173,both_correct,Leather_173,Leather_173,True,True,0.082564,0.038009,Leather_173|Leather_200|Leather_02,Leather_173|Leather_13|Leather_03,my_dataset_test_filtered\Leather_173\1750659979993.jpg
Leather_174,both_correct,Leather_174,Leather_174,True,True,0.161523,0.147596,Leather_174|Leather_170|Leather_175,Leather_174|Leather_170|Leather_175,my_dataset_test_filtered\Leather_174\1750660728450.jpg
Leather_175,both_correct,Leather_175,Leather_175,True,True,0.070548,0.032141,Leather_175|Leather_08|Leather_189,Leather_175|Leather_170|Leather_10,my_dataset_test_filtered\Leather_175\1750660827906.jpg
Leather_176,both_correct,Leather_176,Leather_176,True,True,0.232475,0.134438,Leather_176|Leather_181|Leather_166,Leather_176|Leather_28|Leather_15,my_dataset_test_filtered\Leather_176\1750660944224.jpg
Leather_177,both_correct,Leather_177,Leather_177,True,True,0.086072,0.075108,Leather_177|Leather_175|Leather_189,Leather_177|Leather_189|Leather_184,my_dataset_test_filtered\Leather_177\1750661060161.jpg
Leather_178,both_correct,Leather_178,Leather_178,True,True,0.206693,0.294167,Leather_178|Leather_175|Leather_177,Leather_178|Leather_177|Leather_69,my_dataset_test_filtered\Leather_178\1750661159844.jpg
Leather_179,both_correct,Leather_179,Leather_179,True,True,0.061356,0.058512,Leather_179|Leather_84|Leather_81,Leather_179|Leather_27|Leather_183,my_dataset_test_filtered\Leather_179\1750661242878.jpg
Leather_18,both_correct,Leather_18,Leather_18,True,True,0.072535,0.035189,Leather_18|Leather_25|Leather_162,Leather_18|Leather_179|Leather_163,my_dataset_test_filtered\Leather_18\1750409468348.jpg
Leather_181,both_correct,Leather_181,Leather_181,True,True,0.083693,0.105275,Leather_181|Leather_17|Leather_152,Leather_181|Leather_170|Leather_184,my_dataset_test_filtered\Leather_181\1750661486082.jpg
Leather_182,dinov2_only_correct,Leather_18,Leather_182,False,True,0.005256,0.128785,Leather_18|Leather_182|Leather_25,Leather_182|Leather_18|Leather_179,my_dataset_test_filtered\Leather_182\1750662101172.jpg
Leather_183,both_correct,Leather_183,Leather_183,True,True,0.155474,0.020152,Leather_183|Leather_27|Leather_151,Leather_183|Leather_167|Leather_27,my_dataset_test_filtered\Leather_183\1750662415812.jpg
Leather_184,both_correct,Leather_184,Leather_184,True,True,0.076992,0.044131,Leather_184|Leather_189|Leather_175,Leather_184|Leather_189|Leather_188,my_dataset_test_filtered\Leather_184\1750662571409.jpg
Leather_185,both_correct,Leather_185,Leather_185,True,True,0.079234,0.115897,Leather_185|Leather_84|Leather_179,Leather_185|Leather_124|Leather_183,my_dataset_test_filtered\Leather_185\1750662660000.jpg
Leather_186,both_correct,Leather_186,Leather_186,True,True,0.069922,0.059918,Leather_186|Leather_152|Leather_28,Leather_186|Leather_152|Leather_28,my_dataset_test_filtered\Leather_186\1750662752578.jpg
Leather_187,both_correct,Leather_187,Leather_187,True,True,0.289736,0.218531,Leather_187|Leather_188|Leather_168,Leather_187|Leather_17|Leather_152,my_dataset_test_filtered\Leather_187\1750663815128.jpg
Leather_188,both_correct,Leather_188,Leather_188,True,True,0.135682,0.114845,Leather_188|Leather_152|Leather_151,Leather_188|Leather_152|Leather_175,my_dataset_test_filtered\Leather_188\1750663926595.jpg
Leather_189,both_correct,Leather_189,Leather_189,True,True,0.083464,0.068780,Leather_189|Leather_184|Leather_175,Leather_189|Leather_184|Leather_188,my_dataset_test_filtered\Leather_189\1750664130885.jpg
Leather_19,resnet_only_correct,Leather_19,Leather_167,True,False,0.048541,0.021885,Leather_19|Leather_186|Leather_28,Leather_167|Leather_19|Leather_152,my_dataset_test_filtered\Leather_19\1750409938648.jpg
Leather_190,both_correct,Leather_190,Leather_190,True,True,0.154561,0.227527,Leather_190|Leather_04|Leather_175,Leather_190|Leather_174|Leather_175,my_dataset_test_filtered\Leather_190\1750664331525.jpg
Leather_191,both_correct,Leather_191,Leather_191,True,True,0.497313,0.366830,Leather_191|Leather_178|Leather_170,Leather_191|Leather_178|Leather_10,my_dataset_test_filtered\Leather_191\1750664466727.jpg
Leather_192,both_correct,Leather_192,Leather_192,True,True,0.097502,0.068774,Leather_192|Leather_180|Leather_201,Leather_192|Leather_14|Leather_13,my_dataset_test_filtered\Leather_192\1750664610693.jpg
Leather_193,both_correct,Leather_193,Leather_193,True,True,0.188009,0.044696,Leather_193|Leather_27|Leather_156,Leather_193|Leather_27|Leather_159,my_dataset_test_filtered\Leather_193\1750664722422.jpg
Leather_194,both_correct,Leather_194,Leather_194,True,True,0.200101,0.130969,Leather_194|Leather_13|Leather_07,Leather_194|Leather_13|Leather_14,my_dataset_test_filtered\Leather_194\1750664834503.jpg
Leather_195,both_correct,Leather_195,Leather_195,True,True,0.191439,0.079235,Leather_195|Leather_201|Leather_118,Leather_195|Leather_199|Leather_201,my_dataset_test_filtered\Leather_195\1750664932917.jpg
Leather_196,both_correct,Leather_196,Leather_196,True,True,0.239772,0.193687,Leather_196|Leather_147|Leather_37,Leather_196|Leather_195|Leather_199,my_dataset_test_filtered\Leather_196\1750665019021.jpg
Leather_197,both_correct,Leather_197,Leather_197,True,True,0.464322,0.251996,Leather_197|Leather_196|Leather_61,Leather_197|Leather_05|Leather_193,my_dataset_test_filtered\Leather_197\1750665774705.jpg
Leather_198,both_correct,Leather_198,Leather_198,True,True,0.428555,0.234435,Leather_198|Leather_195|Leather_201,Leather_198|Leather_201|Leather_195,my_dataset_test_filtered\Leather_198\1750665866788.jpg
Leather_199,both_correct,Leather_199,Leather_199,True,True,0.162133,0.159118,Leather_199|Leather_05|Leather_160,Leather_199|Leather_195|Leather_13,my_dataset_test_filtered\Leather_199\1750665947796.jpg
Leather_20,both_correct,Leather_20,Leather_20,True,True,0.181000,0.169425,Leather_20|Leather_21|Leather_190,Leather_20|Leather_140|Leather_37,my_dataset_test_filtered\Leather_20\1750470677619.jpg
Leather_200,both_correct,Leather_200,Leather_200,True,True,0.090546,0.072084,Leather_200|Leather_173|Leather_02,Leather_200|Leather_173|Leather_161,my_dataset_test_filtered\Leather_200\1750666016867.jpg
Leather_201,both_correct,Leather_201,Leather_201,True,True,0.258663,0.161377,Leather_201|Leather_196|Leather_195,Leather_201|Leather_195|Leather_198,my_dataset_test_filtered\Leather_201\1750666106599.jpg
Leather_202,both_correct,Leather_202,Leather_202,True,True,0.290342,0.116664,Leather_202|Leather_25|Leather_18,Leather_202|Leather_18|Leather_169,my_dataset_test_filtered\Leather_202\1750661667157.jpg
Leather_203,both_correct,Leather_203,Leather_203,True,True,0.020440,0.050079,Leather_203|Leather_93|Leather_59,Leather_203|Leather_23|Leather_120,my_dataset_test_filtered\Leather_203\1750474770355.jpg
Leather_21,both_correct,Leather_21,Leather_21,True,True,0.149470,0.112089,Leather_21|Leather_30|Leather_133,Leather_21|Leather_20|Leather_140,my_dataset_test_filtered\Leather_21\1750470770553.jpg
Leather_22,both_correct,Leather_22,Leather_22,True,True,0.245373,0.174575,Leather_22|Leather_55|Leather_76,Leather_22|Leather_72|Leather_39,my_dataset_test_filtered\Leather_22\1750471270864.jpg
Leather_23,both_correct,Leather_23,Leather_23,True,True,0.479237,0.437173,Leather_23|Leather_37|Leather_20,Leather_23|Leather_203|Leather_121,my_dataset_test_filtered\Leather_23\1750471349579.jpg
Leather_24,both_correct,Leather_24,Leather_24,True,True,0.016893,0.073411,Leather_24|Leather_160|Leather_175,Leather_24|Leather_160|Leather_161,my_dataset_test_filtered\Leather_24\1750404868870.jpg
Leather_25,both_correct,Leather_25,Leather_25,True,True,0.011024,0.037039,Leather_25|Leather_18|Leather_162,Leather_25|Leather_162|Leather_18,my_dataset_test_filtered\Leather_25\1750405296218.jpg
Leather_26,dinov2_only_correct,Leather_165,Leather_26,False,True,0.017360,0.040046,Leather_165|Leather_26|Leather_168,Leather_26|Leather_165|Leather_168,my_dataset_test_filtered\Leather_26\1750405534348.jpg
Leather_27,both_correct,Leather_27,Leather_27,True,True,0.118411,0.056401,Leather_27|Leather_151|Leather_183,Leather_27|Leather_179|Leather_167,my_dataset_test_filtered\Leather_27\1750409685638.jpg
Leather_28,both_correct,Leather_28,Leather_28,True,True,0.069330,0.076831,Leather_28|Leather_186|Leather_152,Leather_28|Leather_186|Leather_152,my_dataset_test_filtered\Leather_28\1750409789490.jpg
Leather_29,both_correct,Leather_29,Leather_29,True,True,0.230895,0.301314,Leather_29|Leather_34|Leather_140,Leather_29|Leather_33|Leather_128,my_dataset_test_filtered\Leather_29\1750471438228.jpg
Leather_30,both_correct,Leather_30,Leather_30,True,True,0.096193,0.186935,Leather_30|Leather_32|Leather_31,Leather_30|Leather_31|Leather_32,my_dataset_test_filtered\Leather_30\1750471530238.jpg
Leather_31,both_correct,Leather_31,Leather_31,True,True,0.080294,0.115398,Leather_31|Leather_32|Leather_56,Leather_31|Leather_30|Leather_32,my_dataset_test_filtered\Leather_31\1750471605030.jpg
Leather_32,both_correct,Leather_32,Leather_32,True,True,0.131483,0.145986,Leather_32|Leather_30|Leather_145,Leather_32|Leather_31|Leather_30,my_dataset_test_filtered\Leather_32\1750471682491.jpg
Leather_33,both_wrong,Leather_102,Leather_34,False,False,0.035341,0.113230,Leather_102|Leather_34|Leather_140,Leather_34|Leather_30|Leather_33,my_dataset_test_filtered\Leather_33\1750471764013.jpg
Leather_34,both_correct,Leather_34,Leather_34,True,True,0.170911,0.357159,Leather_34|Leather_29|Leather_140,Leather_34|Leather_141|Leather_21,my_dataset_test_filtered\Leather_34\1750471821479.jpg
